root_domain,broad_sector,refined_industry,site_type,evidence_url,evidence_note,confidence
admitad.com,Marketing & Growth Platforms,Affiliate marketing and partnership management platform,Affiliate network / partner platform,https://www.admitad.com/,"Serves advertisers and publishers through a partnership management platform.",high
sport.es,Media & Publishing,Sports newspaper and digital sports media,Sports news publisher,https://www.sport.es/es/,"Spanish sports newspaper focused on football, La Liga, Barca, and broader sports coverage.",high
wpbeginner.com,Community / Lifestyle / Education,WordPress tutorials and educational publishing,Technical tutorial publisher,https://www.wpbeginner.com/,"Publishes beginner-oriented WordPress tutorials and reference content.",high
hostinger.com,Software & SaaS,Web hosting and website creation platform,Hosting / website builder,https://www.hostinger.com/,"Sells hosting, domains, and site-building services for getting businesses online.",high
maxcash.com,Finance & Professional Services,Consumer loan brokerage and financial lead generation,Loan broker,https://maxcash.com/,"Connects users to personal, installment, and title-loan options as a financial broker.",high
lambdatest.com,Software & SaaS,Cloud software testing and QA automation platform,Testing SaaS,https://www.lambdatest.com/,"Offers cloud-based testing and AI-assisted QA workflows.",high
perso.ai,Software & SaaS,AI dubbing and video localization platform,AI media SaaS,https://perso.ai/en,"Provides AI dubbing, video translation, and localization features.",high
technadu.com,Media & Publishing,Cybersecurity and technology news publisher,Tech media site,https://www.technadu.com/,"Publishes cybersecurity news, privacy guides, and VPN reviews.",high
kiindred.co,Community / Lifestyle / Education,Parenting and pregnancy digital media,Parenting media site,https://kiindred.co/,"Targets fertility, pregnancy, and parenthood topics for modern parents.",high
zenbusiness.com,Finance & Professional Services,Small-business formation and compliance platform,Business services platform,https://www.zenbusiness.com/,"Provides an all-in-one platform for starting, running, and staying compliant as a small business.",high
bureauworks.com,Software & SaaS,Translation management and localization software,Localization SaaS,https://www.bureauworks.com/,"Positions itself as a translation management system and localization platform.",high
justcall.io,Software & SaaS,Revenue communications and business calling platform,Communications SaaS,https://justcall.io/,"Sells a revenue communication platform for business calls and sales teams.",high
hombrelobo.com,Community / Lifestyle / Education,Travel blog and creator-led personal media,Travel blog,https://hombrelobo.com/contacto/,"Official contact page identifies the site owner as a major Spanish-language travel blogger.",medium
mobilerepairparts.com,Commerce & Marketplaces,Mobile device repair-parts retail,E-commerce store,https://mobilerepairparts.com/,"Sells mobile repair parts directly online.",high
caclubindia.com,Finance & Professional Services,Finance, tax, and accounting professional community,Professional community site,https://www.caclubindia.com/,"Targets finance professionals, taxpayers, and students with an interactive platform.",high
gamereactor.es,Media & Publishing,Gaming and pop-culture media network,Gaming media publisher,https://www.gamereactor.es/,"Describes itself as a multilingual network covering games, esports, movies, series, and tech.",high
standards.ie,Finance & Professional Services,Standards store and standards-management service,Standards / compliance portal,https://shop.standards.ie/en-ie/contact-us/,"NSAI standards store page references standards products and standards-management solutions.",high
elespanol.com,Media & Publishing,General digital newspaper,Digital news publisher,https://www.elespanol.com/,"Large Spanish digital newspaper with general news coverage.",high
techi.com,Media & Publishing,Technology and market-analysis media,Tech / markets publisher,https://www.techi.com/,"Covers AI, crypto, earnings, and emerging tech from a market-analysis angle.",high
bonafideresearch.com,Finance & Professional Services,Market-research and consulting firm,Research publisher,https://www.bonafideresearch.com/about,"Provides market-research reports, consulting, and industry analysis.",high
pawlicy.com,Finance & Professional Services,Pet-insurance marketplace and brokerage,Insurance marketplace,https://www.pawlicy.com/about-us/,"Operates an independent pet-insurance marketplace and comparison service.",high
licorea.com,Commerce & Marketplaces,Online liquor retail,Alcohol e-commerce,https://licorea.com/,"Spanish online liquor store selling alcoholic beverages.",high
sociedaduniversal.com,Media & Publishing,Social-issues and human-rights informational publication,Issue-oriented publication,https://sociedaduniversal.com/,"Presents itself as an online resource about social issues, equality, and human rights.",medium
surfoffice.com,Finance & Professional Services,Company-retreat and team-offsite planning service,Retreat planning platform,https://www.surfoffice.com/,"Organizes company retreats, team offsites, and related logistics.",high
albazone.mk,Media & Publishing,General digital news site,News publisher,https://albazone.mk/,"Publishes breaking-news style articles in Albanian.",medium
flashintel.ai,Software & SaaS,Sales intelligence and GTM automation platform,Revenue AI platform,https://www.flashintel.ai/,"Offers agentic AI, SDR workflows, and sales-data automation.",high
mumbaiker.com,Media & Publishing,Urban news and lifestyle media,General-interest publisher,https://www.mumbaiker.com/,"Homepage presents a steady stream of urban-interest and general news posts.",medium
shyft.ai,Software & SaaS,Revenue-operations data infrastructure for B2B teams,B2B operations SaaS,https://shyft.ai/,"Connects CRM, billing, and product data into an AI-ready foundation for revenue teams.",high
leitesculinaria.com,Community / Lifestyle / Education,Culinary media and recipe publisher,Food media site,https://leitesculinaria.com/about,"Founder describes the site as a long-running hub for recipes, food writing, and cooking education.",high
citizenshipper.com,Commerce & Marketplaces,Shipping and pet-transport marketplace,Transport marketplace,https://citizenshipper.com/about-us,"Marketplace connecting shippers with drivers, with strong pet-transport positioning.",high
